Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
3,70080,70076,70066.4,70074.8,70311.4
2,70290,70284.7,70276.2,70285.2,70522.3
10,70460,70493.4,70485.9,70495.6,70733.1
6,70670,70702.1,70695.7,70706,70944
4,70920,70910.8,70905.4,70916.4,71154.9
8,71160,71119.5,71115.1,71126.8,71365.7
7,71360,71328.2,71324.9,71337.2,71576.6
1,71540,71536.9,71534.6,71547.6,71787.5
9,71740,71745.6,71744.3,71758,71998.3
3,71940,71954.3,71954.1,71968.4,72209.2
5,72170,72163,72163.8,72178.8,72420.1
10,72570,72609.3,72592.1,72595.5,72841.8
2,72820,72818.2,72802,72805.9,73052.7
4,73020,73027.2,73012,73016.4,73263.5
6,73260,73236.1,73221.9,73226.8,73474.4
7,73470,73445,73431.9,73437.2,73685.3
8,73680,73653.9,73641.9,73647.6,73896.2
9,73870,73862.8,73851.8,73858,74107
1,74070,74071.8,74061.8,74068.5,74317.9
5,74290,74280.7,74271.8,74278.9,74528.8
3,74500,74489.6,74481.7,74489.3,74739.6
10,74690,74698.5,74691.7,74699.7,74950.5
4,74890,74907.5,74901.7,74910.1,75161.4
2,75130,75116.4,75111.6,75120.5,75372.2
7,75320,75325.3,75321.6,75331,75583.1
6,75480,75534.2,75531.5,75541.4,75794
8,75730,75743.2,75741.5,75751.8,76004.8
1,75940,75952.1,75951.5,75962.2,76215.7
9,76190,76161,76161.4,76172.6,76426.6
3,76380,76369.9,76371.4,76383.1,76637.4
5,76590,76578.8,76581.4,76593.5,76848.3
4,77030,77018.3,77005.9,77007.3,77270
10,77240,77227.7,77216,77217.6,77480.9
7,77390,77437.1,77426.1,77428,77691.8
2,77650,77646.5,77636.2,77638.3,77902.7
8,77810,77855.9,77846.3,77848.7,78113.5
6,78020,78065.3,78056.4,78059,78324.4
9,78270,78274.7,78266.5,78269.3,78535.3
1,78460,78484.1,78476.6,78479.7,78746.1
5,78690,78693.5,78686.7,78690,78957
3,78920,78902.9,78896.8,78900.3,79167.9
10,79150,79112.3,79106.9,79110.7,79378.7
4,79380,79321.7,79317,79321,79589.6
2,79550,79531.1,79527.1,79531.3,79800.5
7,79720,79740.5,79737.2,79741.7,80011.3
6,79960,79949.9,79947.3,79952,80222.2
8,80180,80159.3,80157.4,80162.3,80433.1
9,80360,80368.7,80367.5,80372.7,80643.9
5,80550,80578.1,80577.6,80583,80854.8
1,80780,80787.5,80787.7,80793.4,81065.7
3,81000,80996.9,80997.8,81003.7,81276.6
4,81470,81437.4,81418.8,81421.5,81698.3
10,81650,81645.8,81628.9,81631.5,81909.2
7,81830,81854.2,81839,81841.5,82120
2,82070,82062.5,82049.1,82051.5,82330.9
8,82260,82270.9,82259.2,82261.5,82541.8
6,82520,82479.2,82469.2,82471.5,82752.6
5,82720,82687.6,82679.3,82681.5,82963.5
9,82890,82895.9,82889.4,82891.5,83174.4
3,83070,83104.3,83099.5,83101.5,83385.2
1,83300,83312.6,83309.5,83311.5,83596.1
4,83510,83521,83519.6,83521.5,83807
7,83670,83729.4,83729.7,83731.5,84017.8
10,83930,83937.7,83939.8,83941.5,84228.7
8,84150,84146.1,84149.9,84151.5,84439.6
2,84370,84354.4,84359.9,84361.5,84650.4
5,84560,84562.8,84570,84571.5,84861.3
6,84770,84771.1,84780.1,84781.5,85072.2
9,85000,84979.5,84990.2,84991.5,85283.1
1,85160,85187.8,85200.2,85201.5,85493.9
3,85430,85396.2,85410.3,85411.5,85704.8
7,85810,85831.7,85824.4,85820,86126.5
4,86060,86040.6,86034.3,86029.8,86337.4
8,86200,86249.6,86244.2,86239.6,86548.3
10,86440,86458.5,86454.1,86449.5,86759.1
5,86660,86667.4,86664.1,86659.3,86970
2,86880,86876.3,86874,86869.2,87180.9
9,87090,87085.2,87083.9,87079,87391.7
6,87300,87294.2,87293.8,87288.9,87602.6
3,87490,87503.1,87503.7,87498.7,87813.5
1,87710,87712,87713.6,87708.6,88024.3
4,87900,87920.9,87923.5,87918.4,88235.2
7,88120,88129.8,88133.4,88128.3,88446.1
10,88330,88338.7,88343.3,88338.1,88656.9
8,88580,88547.7,88553.2,88548,88867.8
2,88790,88756.6,88763.2,88757.8,89078.7
5,88960,88965.5,88973.1,88967.7,89289.6
6,89150,89174.4,89183,89177.5,89500.4
9,89380,89383.3,89392.9,89387.4,89711.3
3,89600,89592.2,89602.8,89597.2,89922.2
1,89820,89801.2,89812.7,89807,90133
7,90240,90238.8,90228.1,90221.7,90554.8
4,90450,90447.2,90437.9,90431.9,90765.6
8,90630,90655.7,90647.6,90642,90976.5
10,90880,90864.1,90857.4,90852.1,91187.4
5,91060,91072.5,91067.2,91062.3,91398.2
