name,dedication,county,lat,lng,dove
Liverpool,Our Lady and St Nicholas - Pier Head,Merseyside,53.40703,-2.9951,https://dove.cccbr.org.uk/tower/13309
Wallasey,St Nicholas,Merseyside,53.42945,-3.07161,https://dove.cccbr.org.uk/tower/12836
Wallasey,St Hillary,Merseyside,53.42162,-3.06005,https://dove.cccbr.org.uk/tower/16553
Wragby,All Saints,Lincolnshire,53.28648,-0.29961,https://dove.cccbr.org.uk/tower/12824
Sutterton,St Mary Blessed Virgin,Lincolnshire,52.90207,-0.09105,https://dove.cccbr.org.uk/tower/14739
Addlethorpe,St Nicholas,Lincolnshire,53.19628,0.32008,https://dove.cccbr.org.uk/tower/11106
Hinckley,St Mary,Leicestershire,52.54054,-1.37188,https://dove.cccbr.org.uk/tower/11995
Thurlaston,All Saints,Leicestershire,52.58713,-1.26054,https://dove.cccbr.org.uk/tower/15906
Desford,St Martin,Leicestershire,52.62685,-1.29449,https://dove.cccbr.org.uk/tower/12700
Wanlip,Our Lady and St Nicholas,Leicestershire,52.69318,-1.11073,https://dove.cccbr.org.uk/tower/11699
Oakham,All Saints,Rutland,52.67109,-0.72889,https://dove.cccbr.org.uk/tower/14688
Waddington,St Michael,Lincolnshire,53.16581,-0.54137,https://dove.cccbr.org.uk/tower/16243
Harmston,All Saints,Lincolnshire,53.14871,-0.54725,https://dove.cccbr.org.uk/tower/12433
Caythorpe,St Vincent,Lincolnshire,53.02614,-0.60144,https://dove.cccbr.org.uk/tower/13483
Alton,St Peter,Staffordshire,52.9783,-1.89194,https://dove.cccbr.org.uk/tower/14384
Ranmoor,St John,South Yorkshire,53.37232,-1.5215,https://dove.cccbr.org.uk/tower/16286
Sheffield,Cathedral Church of St Peter and St Paul,South Yorkshire,53.38312,-1.4692,https://dove.cccbr.org.uk/tower/13787
Rotherham,Minster Church of All Saints,South Yorkshire,53.43096,-1.35654,https://dove.cccbr.org.uk/tower/11336
Rotherham,St Anthony Coptic Orthodox Church,South Yorkshire,53.43401,-1.34923,https://dove.cccbr.org.uk/tower/15197
Bath,Abbey Church of St Peter and St Paul,Somerset,51.38144,-2.35875,https://dove.cccbr.org.uk/tower/11365
Walesby,All Saints Old Church,Lincolnshire,53.41611,-0.28899,https://dove.cccbr.org.uk/tower/16848
Bradfield,St Nicholas,South Yorkshire,53.42898,-1.5997,https://dove.cccbr.org.uk/tower/11773
Wickham Market,All Saints,Suffolk,52.15229,1.36392,https://dove.cccbr.org.uk/tower/10293
